producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,86.90,100.80,99.93,115.92
Aviso Destacado Combo,8599,155.17,180.00,178.45,207.00
Aviso Superdestacado Combo,8607,242.07,280.80,278.38,322.92
5 Avisos Simples Combo,8635,325.86,378.00,374.74,434.70
5 Avisos Destacados Combo,8631,581.90,675.00,669.18,776.25
5 Avisos Superdestacados Combo,8639,907.76,"1,053.00","1,043.92","1,210.95"
10 Avisos Simples Combo,8611,488.79,567.00,562.11,652.05
10 Avisos Destacados Combo Mensual,8652,872.84,"1,012.50","1,003.77","1,164.38"
10 Avisos Superdestacados Combo,8656,"1,361.64","1,579.50","1,565.88","1,816.43"
30 Avisos Simples,8858,"1,099.78","1,275.75","1,264.75","1,467.11"
25 Avisos Destacados Combo Mensual,8653,"1,745.69","2,025.00","2,007.54","2,328.75"
25 Avisos Superdestacados Combo,8658,"2,723.28","3,159.00","3,131.77","3,632.85"
50 Avisos Simples Combo,8643,"1,466.38","1,701.00","1,686.34","1,956.15"
50 Destacados combo Mensual,20220,"2,618.53","3,037.50","3,011.31","3,493.13"
50 superdestcados combo mensual,20221,"4,084.91","4,738.50","4,697.65","5,449.28"
80 Avisos Simples Combo,8651,"1,876.97","2,177.28","2,158.51","2,503.87"
100 Avisos Simples Combo,8615,"2,111.59","2,449.44","2,428.32","2,816.86"
100 Destacados combo mensual,20222,"3,770.69","4,374.00","4,336.29","5,030.10"
100 Superdestacados combo mensual,20223,"5,882.28","6,823.44","6,764.62","7,846.96"
200 Avisos Simples Combo,8619,"3,167.38","3,674.16","3,642.49","4,225.28"
500 Avisos Simples Combo,8647,"5,938.84","6,889.05","6,829.66","7,922.41"
Pack Bolillo 5S + 1D Combo Mensual,20254,442.24,513.00,508.58,589.95
Pack 10 Combo,8680,680.82,789.75,782.94,908.21
Pack 15 Combo,8681,925.22,"1,073.25","1,064.00","1,234.24"
Pack 30 Combo,8682,"1,387.82","1,609.88","1,596.00","1,851.36"
Pack 50 Combo,8683,"1,812.03","2,101.95","2,083.83","2,417.24"
Pack 80 Combo,8684,"2,362.97","2,741.04","2,717.41","3,152.20"
Pack 100 Combo,8685,"2,631.94","3,053.05","3,026.73","3,511.01"
Pack 200 Combo,8686,"3,761.26","4,363.07","4,325.45","5,017.52"
Pack 350 Combo,8687,"5,259.66","6,101.21","6,048.61","7,016.39"
Pack 500 Combo,8688,"6,935.71","8,045.43","7,976.07","9,252.24"
Pack 10 Premium,8691,970.60,"1,125.90","1,116.19","1,294.79"
Pack 25 Premium,8692,"2,019.41","2,342.52","2,322.33","2,693.90"
Pack 50 Premium,8693,"2,970.47","3,445.74","3,416.04","3,962.60"
Alquiler 10 Simples Suscrip,10695,418.10,485.00,480.82,557.75
Alquiler 30 Simples Suscrip,10696,"1,003.45","1,164.00","1,153.97","1,338.60"
Alquiler 50 Simples Suscrip,10697,"1,672.41","1,940.00","1,923.28","2,231.00"
Alquiler 100 Simples Suscrip,10698,"2,508.62","2,910.00","2,884.91","3,346.50"
