producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,"8,603.00",108.62,126.00,124.91,144.90
Aviso Destacado Combo,"8,599.00",181.03,210.00,208.19,241.50
Aviso Superdestacado Combo,"8,607.00",222.41,258.00,255.78,296.70
5 Avisos Simples Combo,"8,635.00",407.33,472.50,468.43,543.38
5 Avisos Destacados Combo,"8,631.00",678.88,787.50,780.71,905.63
5 Avisos Superdestacados Combo,"8,639.00",834.05,967.50,959.16,"1,112.63"
10 Avisos Simples Combo,"8,611.00",610.99,708.75,702.64,815.06
10 Avisos Destacados Combo Mensual,"8,652.00","1,018.32","1,181.25","1,171.07","1,358.44"
10 Avisos Superdestacados Combo,"8,656.00","1,251.08","1,451.25","1,438.74","1,668.94"
30 Avisos Simples,"8,858.00","1,374.73","1,594.69","1,580.94","1,833.89"
25 Avisos Destacados Combo Mensual,"8,653.00","2,036.64","2,362.50","2,342.13","2,716.88"
25 Avisos Superdestacados Combo,"8,658.00","2,502.16","2,902.50","2,877.48","3,337.88"
50 Avisos Simples Combo,"8,643.00","1,832.97","2,126.25","2,107.92","2,445.19"
50 Destacados combo Mensual,"20,220.00","3,054.96","3,543.75","3,513.20","4,075.31"
50 superdestcados combo mensual,"20,221.00","3,753.23","4,353.75","4,316.22","5,006.81"
80 Avisos Simples Combo,"8,651.00","2,346.21","2,721.60","2,698.14","3,129.84"
100 Avisos Simples Combo,"8,615.00","2,639.48","3,061.80","3,035.41","3,521.07"
100 Destacados combo mensual,"20,222.00","4,399.14","5,103.00","5,059.01","5,868.45"
100 Superdestacados combo mensual,"20,223.00","5,404.66","6,269.40","6,215.35","7,209.81"
200 Avisos Simples Combo,"8,619.00","3,959.22","4,592.70","4,553.11","5,281.61"
500 Avisos Simples Combo,"8,647.00","7,423.55","8,611.31","8,537.08","9,903.01"
Pack Bolillo 5S + 1D Combo Mensual,"20,254.00",543.10,630.00,624.57,724.50
Pack 10 Combo,"8,680.00",814.66,945.00,936.85,"1,086.75"
Pack 15 Combo,"8,681.00","1,120.15","1,299.38","1,288.17","1,494.28"
Pack 30 Combo,"8,682.00","1,680.23","1,949.06","1,932.26","2,241.42"
Pack 50 Combo,"8,683.00","2,199.57","2,551.50","2,529.50","2,934.23"
Pack 80 Combo,"8,684.00","2,793.10","3,240.00","3,212.07","3,726.00"
Pack 100 Combo,"8,685.00","3,129.67","3,630.42","3,599.12","4,174.98"
Pack 200 Combo,"8,686.00","4,496.55","5,216.00","5,171.03","5,998.39"
Pack 350 Combo,"8,687.00","6,284.99","7,290.58","7,227.73","8,384.17"
Pack 500 Combo,"8,688.00","8,307.30","9,636.47","9,553.40","11,081.94"
Pack 10 Premium,"8,691.00","1,064.87","1,235.25","1,224.60","1,420.54"
Pack 25 Premium,"8,692.00","2,166.98","2,513.70","2,492.03","2,890.76"
Pack 50 Premium,"8,693.00","3,222.54","3,738.15","3,705.92","4,298.87"
Alquiler 10 Simples Suscrip,"10,695.00",433.71,503.10,498.76,578.57
Alquiler 30 Simples Suscrip,"10,696.00",907.76,"1,053.00","1,043.92","1,210.95"
Alquiler 50 Simples Suscrip,"10,697.00","1,512.93","1,755.00","1,739.87","2,018.25"
Alquiler 100 Simples Suscrip,"10,698.00","2,017.24","2,340.00","2,319.83","2,691.00"
