producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,108.62,126,124.91,144.9
Aviso Destacado Combo,8599,181.03,210,208.19,241.5
Aviso Superdestacado Combo,8607,222.41,258,255.78,296.7
5 Avisos Simples Combo,8635,407.33,472.5,468.43,543.38
5 Avisos Destacados Combo,8631,678.88,787.5,780.71,905.63
5 Avisos Superdestacados Combo,8639,834.05,967.5,959.16,1112.63
10 Avisos Simples Combo,8611,610.99,708.75,702.64,815.06
10 Avisos Destacados Combo Mensual,8652,1018.32,1181.25,1171.07,1358.44
10 Avisos Superdestacados Combo,8656,1251.08,1451.25,1438.74,1668.94
30 Avisos Simples,8858,1374.73,1594.69,1580.94,1833.89
25 Avisos Destacados Combo Mensual,8653,2036.64,2362.5,2342.13,2716.88
25 Avisos Superdestacados Combo,8658,2502.16,2902.5,2877.48,3337.88
50 Avisos Simples Combo,8643,1832.97,2126.25,2107.92,2445.19
50 Destacados combo Mensual,20220,3054.96,3543.75,3513.2,4075.31
50 superdestcados combo mensual,20221,3753.23,4353.75,4316.22,5006.81
80 Avisos Simples Combo,8651,2346.21,2721.6,2698.14,3129.84
100 Avisos Simples Combo,8615,2639.48,3061.8,3035.41,3521.07
100 Destacados combo mensual,20222,4399.14,5103,5059.01,5868.45
100 Superdestacados combo mensual,20223,5404.66,6269.4,6215.35,7209.81
200 Avisos Simples Combo,8619,3959.22,4592.7,4553.11,5281.61
500 Avisos Simples Combo,8647,7423.55,8611.31,8537.08,9903.01
Pack Bolillo 5S + 1D Combo Mensual,20254,543.1,630,624.57,724.5
Pack 10 Combo,8680,814.66,945,936.85,1086.75
Pack 15 Combo,8681,1120.15,1299.38,1288.17,1494.28
Pack 30 Combo,8682,1680.23,1949.06,1932.26,2241.42
Pack 50 Combo,8683,2199.57,2551.5,2529.5,2934.23
Pack 80 Combo,8684,2793.1,3240,3212.07,3726
Pack 100 Combo,8685,3129.67,3630.42,3599.12,4174.98
Pack 200 Combo,8686,4496.55,5216,5171.03,5998.39
Pack 350 Combo,8687,6284.99,7290.58,7227.73,8384.17
Pack 500 Combo,8688,8307.3,9636.47,9553.4,11081.94
Pack 10 Premium,8691,1064.87,1235.25,1224.6,1420.54
Pack 25 Premium,8692,2166.98,2513.7,2492.03,2890.76
Pack 50 Premium,8693,3222.54,3738.15,3705.92,4298.87
Alquiler 10 Simples Suscrip,10695,433.71,503.1,498.76,578.57
Alquiler 30 Simples Suscrip,10696,907.76,1053,1043.92,1210.95
Alquiler 50 Simples Suscrip,10697,1512.93,1755,1739.87,2018.25
Alquiler 100 Simples Suscrip,10698,2017.24,2340,2319.83,2691
