producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,86.89655172,100.8,99.93103448,115.92
Aviso Destacado Combo,8599,155.1724138,180,178.4482759,207
Aviso Superdestacado Combo,8607,242.0689655,280.8,278.3793103,322.92
5 Avisos Simples Combo,8635,325.862069,378,374.7413793,434.7
5 Avisos Destacados Combo,8631,581.8965517,675,669.1810345,776.25
5 Avisos Superdestacados Combo,8639,907.7586207,1053,1043.922414,1210.95
10 Avisos Simples Combo,8611,488.7931034,567,562.112069,652.05
10 Avisos Destacados Combo Mensual,8652,872.8448276,1012.5,1003.771552,1164.375
10 Avisos Superdestacados Combo,8656,1361.637931,1579.5,1565.883621,1816.425
30 Avisos Simples,8858,1099.784483,1275.75,1264.752155,1467.1125
25 Avisos Destacados Combo Mensual,8653,1745.689655,2025,2007.543103,2328.75
25 Avisos Superdestacados Combo,8658,2723.275862,3159,3131.767241,3632.85
50 Avisos Simples Combo,8643,1466.37931,1701,1686.336207,1956.15
50 Destacados combo Mensual,20220,2618.534483,3037.5,3011.314655,3493.125
50 superdestcados combo mensual,20221,4084.913793,4738.5,4697.650862,5449.275
80 Avisos Simples Combo,8651,1876.965517,2177.28,2158.510345,2503.872
100 Avisos Simples Combo,8615,2111.586207,2449.44,2428.324138,2816.856
100 Destacados combo mensual,20222,3770.689655,4374,4336.293103,5030.1
100 Superdestacados combo mensual,20223,5882.275862,6823.44,6764.617241,7846.956
200 Avisos Simples Combo,8619,3167.37931,3674.16,3642.486207,4225.284
500 Avisos Simples Combo,8647,5938.836207,6889.05,6829.661638,7922.4075
Pack Bolillo 5S + 1D Combo Mensual,20254,442.2413793,513,508.5775862,589.95
Pack 10 Combo,8680,680.8189655,789.75,782.9418103,908.2125
Pack 15 Combo,8681,925.2155172,1073.25,1063.997845,1234.2375
Pack 30 Combo,8682,1387.823276,1609.875,1595.996767,1851.35625
Pack 50 Combo,8683,1812.025862,2101.95,2083.829741,2417.2425
Pack 80 Combo,8684,2362.965517,2741.04,2717.410345,3152.196
Pack 100 Combo,8685,2631.941379,3053.052,3026.732586,3511.0098
Pack 200 Combo,8686,3761.262931,4363.065,4325.452371,5017.52475
Pack 350 Combo,8687,5259.659586,6101.20512,6048.608524,7016.385888
Pack 500 Combo,8688,6935.712284,8045.42625,7976.069127,9252.240188
Pack 10 Premium,8691,970.6034483,1125.9,1116.193966,1294.785
Pack 25 Premium,8692,2019.413793,2342.52,2322.325862,2693.898
Pack 50 Premium,8693,2970.465517,3445.74,3416.035345,3962.601
Alquiler 10 Simples Suscrip,10695,418.1034483,485,480.8189655,557.75
Alquiler 30 Simples Suscrip,10696,1003.448276,1164,1153.965517,1338.6
Alquiler 50 Simples Suscrip,10697,1672.413793,1940,1923.275862,2231
Alquiler 100 Simples Suscrip,10698,2508.62069,2910,2884.913793,3346.5
