producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,81.48,94.5168,93.702,108.69432
Aviso Destacado Combo,8599,135.8,157.528,156.17,181.1572
Aviso Superdestacado Combo,8607,166.84,193.5344,191.866,222.56456
5 Avisos Simples Combo,8635,305.55,354.438,351.3825,407.6037
5 Avisos Destacados Combo,8631,509.25,590.73,585.6375,679.3395
5 Avisos Superdestacados Combo,8639,625.65,725.754,719.4975,834.6171
10 Avisos Simples Combo,8611,458.325,531.657,527.07375,611.40555
10 Avisos Destacados Combo Mensual,8652,763.875,886.095,878.45625,1019.00925
10 Avisos Superdestacados Combo,8656,938.475,1088.631,1079.24625,1251.92565
30 Avisos Simples,8858,1031.23125,1196.22825,1185.915938,1375.662488
25 Avisos Destacados Combo Mensual,8653,1527.75,1772.19,1756.9125,2038.0185
25 Avisos Superdestacados Combo,8658,1876.95,2177.262,2158.4925,2503.8513
50 Avisos Simples Combo,8643,1374.975,1594.971,1581.22125,1834.21665
50 Destacados combo Mensual,20220,2291.625,2658.285,2635.36875,3057.02775
50 superdestcados combo mensual,20221,2815.425,3265.893,3237.73875,3755.77695
80 Avisos Simples Combo,8651,1759.968,2041.56288,2023.9632,2347.797312
100 Avisos Simples Combo,8615,1979.964,2296.75824,2276.9586,2641.271976
100 Destacados combo mensual,20222,3299.94,3827.9304,3794.931,4402.11996
100 Superdestacados combo mensual,20223,4054.212,4702.88592,4662.3438,5408.318808
200 Avisos Simples Combo,8619,2969.946,3445.13736,3415.4379,3961.907964
500 Avisos Simples Combo,8647,5568.64875,6459.63255,6403.946063,7428.577433
Pack Bolillo 5S + 1D Combo Mensual,20254,407.4,472.584,468.51,543.4716
Pack 10 Combo,8680,611.1,708.876,702.765,815.2074
Pack 15 Combo,8681,840.2625,974.7045,966.301875,1120.910175
Pack 30 Combo,8682,1260.39375,1462.05675,1449.452813,1681.365263
Pack 50 Combo,8683,1649.97,1913.9652,1897.4655,2201.05998
Pack 80 Combo,8684,2095.2,2430.432,2409.48,2794.9968
Pack 100 Combo,8685,2347.6716,2723.299056,2699.82234,3131.793914
Pack 200 Combo,8686,3373.0101,3912.691716,3878.961615,4499.595473
Pack 350 Combo,8687,4714.577136,5468.909478,5421.763706,6289.245899
Pack 500 Combo,8688,6231.583125,7228.636425,7166.320594,8312.931889
Pack 10 Premium,8691,798.795,926.6022,918.61425,1065.59253
Pack 25 Premium,8692,1625.526,1885.61016,1869.3549,2168.451684
Pack 50 Premium,8693,2417.337,2804.11092,2779.93755,3224.727558
Alquiler 10 Simples Suscrip,10695,339.895687,394.2789969,390.88004,453.4208464
Alquiler 30 Simples Suscrip,10696,711.4095773,825.2351097,818.1210139,949.0203762
Alquiler 50 Simples Suscrip,10697,1185.682629,1375.39185,1363.535023,1581.700627
Alquiler 100 Simples Suscrip,10698,1580.910172,1833.855799,1818.046698,2108.934169
